id	name	ascii	tes	lat	long	tes2	tes3	tes4	tes5	tes6	tes7	tes8	tes9	tes10	tes11	tes12	tes13	tes14
3042075	Violet Channel	Violet Channel	Violet Channel	49.15	-1.95	H	CHN	JE		0	0			0		-9999	Europe/Jersey	2012-01-18
3042076	Violet Bank	Violet Bank	Banc De Violet,Violet Bank	49.15	-2.03333	H	RF	JE		0	0			0		-9999	Europe/Jersey	2012-01-18
3042077	Vinchelez de Haut Manor	Vinchelez de Haut Manor	Le Manoir de Vinchelez de Haut,Vinchelez de Haut	49.24475	-2.21851	P	PPL	JE	GB	0				0		88	Europe/Jersey	2016-02-18
3042078	Vinchelez de Bas Manor	Vinchelez de Bas Manor	Le Manoir de Vinchelez de Bas,Vinchelez de Bas	49.24643	-2.21705	P	PPL	JE	GB	0				0		87	Europe/Jersey	2016-02-29
3042079	Ville des Quennevais	Ville des Quennevais	La Ville des Quennevais,Ville des Quennevais,Ville des Quenvais,Ville es Quenvais,Ville ès Quenvais	49.20194	-2.20028	P	PPL	JE		0				0		71	Europe/Jersey	2012-01-18
3042080	Vicard Point	Vicard Point	Vicard,Vicard Point	49.24806	-2.085	T	PT	JE		0				0		-2	Europe/Jersey	2012-01-18
3042081	Verclut Point	Verclut Point	Verclut Point	49.22444	-2.02028	T	PT	JE		0				0		5	Europe/Jersey	2012-01-18
3042082	Vallée des Vaux	Vallee des Vaux	Val des Vaux,Vallee des Vaux,Valley des Vaux,Vallée des Vaux	49.2	-2.1	H	STM	JE		0				0		60	Europe/Jersey	2020-06-10
3042083	Tour de Rozel	Tour de Rozel	La Tour de Rozel,Rozel Tower,Tour de Rozel	49.24333	-2.05194	T	PT	JE		0				0		4	Europe/Jersey	2012-01-18
3042084	Sorel Point	Sorel Point	Sorel,Sorel Point	49.26139	-2.16056	T	PT	JE		0				0		-1	Europe/Jersey	2012-01-18
3042085	Six Rues	Six Rues	Six Rues	49.23333	-2.15	P	PPL	JE		0				0		97	Europe/Jersey	2012-01-18
3042086	Saint Peter’s Church	Saint Peter's Church	Saint Peter,Saint Peter Church,Saint Peter's,Saint Peter's Church,Saint Peter’s,Saint Peter’s Church,St. Peter's Church,St. Peter’s Church	49.21245	-2.1846	S	CH	JE	GB	3237221				0		87	Europe/Jersey	2021-02-20
3042087	Saint Ouen’s Pond	Saint Ouen's Pond	La Mare au Seigneur,Saint Ouen's Pond,Saint Ouen’s Pond,St. Ouen's Pond,St. Ouen’s Pond	49.2151	-2.22263	H	LK	JE		0				0		3	Europe/Jersey	2021-02-20
3042088	Saint Ouen’s Bay	Saint Ouen's Bay	La Baie de St. Ouen,La Baie de St. Ouën,Saint Ouen Bay,Saint Ouen's Bay,Saint Ouen’s Bay,St. Ouen's Bay,St. Ouen’s Bay,St. Ouën’s Bay	49.22135	-2.21387	P	PPL	JE	GB	0				0		62	Europe/Jersey	2021-02-20
3042089	Saint John	Saint John	Saint Jean,Saint John,Saint John's,Saint John's Church,Saint John’s,Saint John’s Church,St. John,St. John's Church,St. John’s Church	49.24556	-2.13861	P	PPL	JE	GB	3237497				3051		105	Europe/Jersey	2022-07-30
3042090	Saint John’s Bay	Saint John's Bay	Saint John's Bay,Saint John’s Bay,St. John's Bay,St. John’s Bay	49.25806	-2.135	H	BAY	JE		0				0		1	Europe/Jersey	2021-02-20
3042091	Saint Helier	Saint Helier	JER,Saint Helier,Saint-Helier,Saint-Hélier,Sankt' Heliero,Sent-Khel'er,St Helier,St. Helier,seinteuhellieo,Сент-Хельер,세인트헬리어	49.18804	-2.10491	P	PPLC	JE	GB	3237864				28000		11	Europe/Jersey	2021-08-01
3042092	Saint Clements Bay	Saint Clements Bay	Saint Clement Bay,Saint Clements Bay,St. Clements Bay	49.16667	-2.06667	H	BAY	JE		0				0		5	Europe/Jersey	2021-02-20
3042093	Saint Catherine Bay	Saint Catherine Bay	Saint Catherine Bay,Saint Catherines Bay,St. Catherine Bay	49.21667	-2.01667	H	BAY	JE		0				0		-9999	Europe/Jersey	2021-02-20
3042094	Saint Brelade’s Bay	Saint Brelade's Bay	La Baie de Saint Brelade,La Baie de Saint Brélade,Saint Brelade Bay,Saint Brelade's Bay,Saint Brelade’s Bay,St. Brelade's Bay,St. Brelade’s Bay	49.17639	-2.2	H	BAY	JE		0				0		-9999	Europe/Jersey	2020-06-10
3042095	Saint Aubins Bay	Saint Aubins Bay	Saint Aubin Bay,Saint Aubins Bay,Saint Aubyn Bay,St. Aubins Bay	49.18333	-2.13333	H	BAY	JE		0				0		-9999	Europe/Jersey	2021-02-20
3042096	Saint Aubin	Saint Aubin	Saint Aubin,Saint Aubyn,Saint Aubîn,St Aubin,St. Aubin	49.1875	-2.17056	P	PPL	JE	GB	3237200				0		12	Europe/Jersey	2023-09-20
3042097	Rozel Bay	Rozel Bay	Le Havre de Rozel,Rozel Bay	49.23778	-2.04083	H	BAY	JE		0				0		1	Europe/Jersey	2012-01-18
3042098	Rozel	Rozel	Rozel,Rozel Seigneurie	49.23639	-2.04611	P	PPL	JE		0				0		8	Europe/Jersey	2012-01-18
3042099	Roussé Rock	Rousse Rock	Rousse,Rousse Rock,Roussé Rock	49.17083	-2.19333	T	RK	JE		0				0		-9999	Europe/Jersey	2020-06-10
3042100	Rouge Nez Point	Rouge Nez Point	La Tete d'Ane,La Tête d’Âne,Rouge Nez,Rouge Nez Point	49.25528	-2.25139	T	PT	JE		0				0		0	Europe/Jersey	2014-10-01
3042101	Rouge Nez	Rouge Nez	Rouge Nez	49.24972	-2.19417	T	PT	JE		0				0		82	Europe/Jersey	2012-01-18
3042102	Ronez Point	Ronez Point	Ronez,Ronez Point	49.26167	-2.1525	T	PT	JE		0				0		2	Europe/Jersey	2012-01-18
3042103	Les Quennevais	Les Quennevais	Les Quennevais,The Quennevais,The Quenvais	49.1975	-2.20694	L	AREA	JE		0				0		76	Europe/Jersey	2012-01-18
3042104	Portelet Bay	Portelet Bay	Le Portelet,Portelet Bay	49.16861	-2.17694	H	BAY	JE		0				0		-9999	Europe/Jersey	2012-01-18
3042105	Plémont Point	Plemont Point	La Tete de Plemont,La Tête de Plémont,Pleinmont Point,Plemont Point,Plémont Point	49.26083	-2.2275	T	PT	JE		0				0		6	Europe/Jersey	2020-06-10
3042106	Plat Roque Point	Plat Roque Point	Plat Rocque Point,Plat Roque Point,Platte Roque Point	49.16667	-2.03333	T	PT	JE		0				0		6	Europe/Jersey	2012-01-18
3042107	Petit Port	Petit Port	Le Petit Port,Petit Port	49.25	-2.09	H	COVE	JE		0				0		5	Europe/Jersey	2012-01-18
3042108	Petit Port	Petit Port	Le Petit Port,Petit Port	49.18472	-2.23556	H	COVE	JE		0				0		-2	Europe/Jersey	2012-01-18
3042109	Île Percée	Ile Percee	Ile Percee,L'Ile Perchie,L’Île Perchie,Île Percée	49.16694	-2.1725	T	RK	JE		0				0		4	Europe/Jersey	2012-01-18
3042110	Noirmont Point	Noirmont Point		49.16583	-2.16778	T	HDLD	JE		0				0		7	Europe/Jersey	2007-06-15
3042111	Millbrook	Millbrook	Millbrook	49.19861	-2.13833	P	PPL	JE		0				0		12	Europe/Jersey	2012-01-18
3042112	Lower Blanc Pignon	Lower Blanc Pignon		49.19472	-2.16222	P	PPL	JE		0				0		10	Europe/Jersey	2007-06-15
3042113	Longueville	Longueville	Longueville	49.18333	-2.08333	P	PPL	JE		0				0		21	Europe/Jersey	2012-01-18
3042114	L’Etacq	L'Etacq	L'Etac,L'Etacq,L’Etac,L’Etacq	49.23534	-2.23516	P	PPL	JE		0				0		11	Europe/Jersey	2015-07-16
3042115	Les Sambues	Les Sambues		49.25611	-2.09083	T	RKS	JE		0				0		-9999	Europe/Jersey	2007-06-15
3042116	Les Mouriers	Les Mouriers		49.25361	-2.17	H	FLLS	JE		0				0		31	Europe/Jersey	2007-06-15
3042117	Les Landes	Les Landes	Les Landes	49.25056	-2.2475	T	PLAT	JE		0				0		73	Europe/Jersey	2012-01-18
3042118	Les Kaines	Les Kaines	Les Caines,Les Caînes,Les Kaines	49.17361	-2.215	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-18
3042119	Les Écrehou	Les Ecrehou	Ecrehos,Les Ecrehou,Les Écrehou	49.3	-1.91667	H	RF	JE		0				0		-9999	Europe/Jersey	2020-06-10
3042120	Le Nez Point	Le Nez Point	Le Nez Point	49.16667	-2.06667	T	PT	JE		0				0		5	Europe/Jersey	2012-01-18
3042121	Le Hocq Point	Le Hocq Point		49.16669	-2.06182	T	PT	JE		0				0		5	Europe/Jersey	2007-07-28
3042122	Point Le Fret	Point Le Fret	La Fret Point,Le Fret,Point Le Fret	49.16917	-2.18944	T	PT	JE		0				0		-1	Europe/Jersey	2012-01-18
3042123	Point Le Croc	Point Le Croc	Le Croc,Le Croq,Point Le Croo	49.16372	-2.07826	T	PT	JE	GB	0				0		7	Europe/Jersey	2007-07-28
3042124	Pierres de Lecq	Pierres de Lecq	Paternosters,Pierre de Lecq,Pierres Des Lecq,Pierres de Lecq	49.29389	-2.20556	T	RKS	JE		0				0		-9999	Europe/Jersey	2012-01-18
3042125	Le Couperon	Le Couperon	Le Couperon	49.235	-2.03528	T	PT	JE		0				0		8	Europe/Jersey	2012-01-18
3042126	La Thiebaut	La Thiebaut	La Thiebaut	49.23444	-2.22972	S	MNQR	JE		0				0		43	Europe/Jersey	2018-12-05
3042127	La Rocque Point	La Rocque Point	La Rocque Point,La Roque Point	49.16667	-2.03333	T	PT	JE		0				0		6	Europe/Jersey	2012-01-18
3042128	L’Âne	L'Ane		49.24972	-2.18667	S	CAVE	JE		0				0		89	Europe/Jersey	2007-06-15
3042129	Point La Moye	Point La Moye	Point La Moye,Point la Moye	49.17472	-2.22472	T	PT	JE		0				0		24	Europe/Jersey	2012-01-18
3042130	La Motte	La Motte	Green Island	49.16074	-2.07723	T	ISL	JE	GB	0				0		-9999	Europe/Jersey	2007-07-28
3042131	La Hougue Boëte	La Hougue Boete	La Hougue Boete,La Hougue Boette,La Hougue Boëte,La Hougue Boëtte	49.23639	-2.1425	S	ANS	JE		0				0		105	Europe/Jersey	2012-01-18
3042132	La Hougue Bie	La Hougue Bie	Hougue Bie,La Hougue Bie,Prince's Tower,Prince’s Tower	49.2	-2.06667	S	ANS	JE		0				0		84	Europe/Jersey	2012-01-18
3042133	La Hougue	La Hougue	La Hougue	49.21667	-2.21667	P	PPL	JE		0				0		11	Europe/Jersey	2012-01-18
3042134	La Haule	La Haule	La Haule	49.18333	-2.18333	P	PPL	JE		0				0		40	Europe/Jersey	2012-01-18
3042135	La Crête Point	La Crete Point	Crete Point,La Crete,La Crete Point,La Crête Point	49.25139	-2.11222	T	PT	JE		0				0		2	Europe/Jersey	2020-06-10
3042136	La Crête Point	La Crete Point	La Crete Point,La Crête Point	49.21667	-2.01667	T	PT	JE		0				0		-9999	Europe/Jersey	2012-01-18
3042137	La Coupe Point	La Coupe Point	Coupe Point,La Coupe,La Coupe Point	49.23278	-2.025	T	PT	JE		0				0		11	Europe/Jersey	2012-01-18
3042138	La Cotte Point	La Cotte Point	La Cotte Point	49.17556	-2.18861	T	PT	JE		0				0		6	Europe/Jersey	2018-12-05
3042139	La Corbière	La Corbiere	La Corbiere,La Corbière	49.17972	-2.24972	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-18
3042140	La Conchière	La Conchiere	La Conchiere,La Conchière	49.13333	-2	T	RK	JE		0	0			0		-9999	Europe/Jersey	2012-01-18
3042141	La Colombière	La Colombiere	La Colombiere,La Colombière,La Colonbine	49.25472	-2.09361	T	RK	JE		0				0		1	Europe/Jersey	2020-06-10
3042142	Bailiwick of Jersey	Bailiwick of Jersey	Bailliage de Jersey,Cersi,Dearsaidh,Deàrsaidh,Dzersi,Dzersija,Dzersis,Dzerzi,Dzhehrsi,Dzhersi,Dzhursi,Dzɛse nutome,Džersis,Džērsija,Geirsi,Geirsí,Jaarsey,Jelezy,Jersey,Jersi,Jerzenez,Kasar Jersey,Selusi,Selusī,Serse,Tzerzi,Xhersej,Zhersi,ce xr siy,dzsʻrzy,g׳rzy,i-Jersey,jaji,jarasi,jarci,jarsi,jelsi,jeoji,jerci,jerisi,jersi,jrsy,jrzy,jyrsy,jېrsېy,ze xi dao,Τζέρζι,Џерзи,Џерси,Джерси,Джерсі,Джърси,Джэрсі,Жерси,Ҷersi,Ҷерси,Ջերսի,ג׳רזי,דזשערזי,جرزی,جرسي,جرسی,جيرسي,جٔرسی,جېرسېي,जर्सी,জার্সি,জাৰ্চি,ਜਰਸੀ,જર્સી,ଜର୍ସି,ஜெர்சி,జెర్సీ,ಜೆರ್ಸಿ,ജേഴ്സി,ජරස,ජර්සි,เจอร์ซีย์,ເຈຊ,ເຈີຊີ,ཇར་ས,ཇེར་སི,ဂျာစီ,ჯერსი,ጀርሲ,ជើស,ជើស៊ី,ジャージー,泽西岛,澤西島,저지	49.21667	-2.11667	A	PCL	JE	GB	0				90812		96	Europe/Jersey	2024-11-11
3042143	Jersey	Jersey	Caesarea Maritima,Dzersi,Dzersija,Dzhersi,Džersija,Gersei,Insula Jersey,Isle of Jersey,JER,Jerri,Jersey,Jerseyi,Jersi,Jèrri,Jèrseyi,Tzerseu,g'rzy,jaji dao,jeoji seom,jersi,jzyrt jyrzy,ze xi dao,Τζέρσεϋ,Џерси,Джерси,Джерсі,ג'רזי,جزيرة جيرزي,ჯერსი,ジャージー島,澤西島,저지 섬	49.2167	-2.13753	T	ISL	JE	GB	0				100000		74	Europe/Jersey	2019-04-11
3042144	Hermitage Rock	Hermitage Rock	Hermatage,Hermitage,Hermitage Rock,L'Oratoire,Le Hermitage de Saint Helier,Le Hermitage de Saint Hélier,L’Oratoire	49.17333	-2.125	T	RK	JE		0				0		4	Europe/Jersey	2012-01-18
3042145	Île au Guerdain	Ile au Guerdain	Ile au Guerdain,Isle au Guerdain,L'Ile au Guerdain,L’Île au Guerdain,Île au Guerdain	49.16972	-2.1775	T	ISL	JE		0				0		-9999	Europe/Jersey	2020-06-10
3042146	Grouville Bay	Grouville Bay	Grouville Bay,Royal Bay of Grouville	49.18333	-2.01667	H	BAY	JE		0				0		-9999	Europe/Jersey	2012-01-18
3042147	Grosnez Point	Grosnez Point	Gros Nez,Grosnez Point	49.25806	-2.24806	T	PT	JE		0				0		83	Europe/Jersey	2012-01-18
3042148	Grève de Lecq	Greve de Lecq	Greve de Lecq,Grève de Lecq,La Greve de Lecq,La Grève de Lecq	49.24806	-2.20139	T	BCH	JE		0				0		47	Europe/Jersey	2012-01-18
3042149	Sand Eel Beach	Sand Eel Beach	Greve au L'anchon,Greve au Lancon,Greve au L’anchon,Grève au Lançon,La Greve au Lanchon,La Grève au Lanchon,Plemont Beach,Plémont Beach	49.25698	-2.23011	T	BCH	JE	GB	0				0		13	Europe/Jersey	2016-02-18
3042150	Grand Chemins	Grand Chemins	Grand Chemins	49.2	-2.06667	P	PPL	JE		0				0		84	Europe/Jersey	2012-01-18
3042151	Gorey	Gorey	Gouorray,Gouray,Gouôrray	49.19937	-2.02826	P	PPL	JE	GB	0				0		34	Europe/Jersey	2022-07-30
3042152	Giffard Bay	Giffard Bay	Giffard Bay,Gifford Bay,Le Havre Giffard	49.25167	-2.1075	H	BAY	JE		0				0		32	Europe/Jersey	2012-01-18
3042153	Fremont Point	Fremont Point	Fremont Point,La Tete de Fremont,La Tête de Frémont	49.25361	-2.12139	T	PT	JE		0				0		52	Europe/Jersey	2012-01-18
3042154	Fliquet Bay	Fliquet Bay	Fliquet,Fliquet Bay	49.22972	-2.01806	H	BAY	JE		0				0		-9999	Europe/Jersey	2012-01-18
3042155	Douet de la Mer	Douet de la Mer	Douet de la Mer,Le Douet de la Mer,Le Douët de la Mer	49.23528	-2.03667	H	COVE	JE		0				0		-1	Europe/Jersey	2012-01-18
3042156	Les Dirouilles	Les Dirouilles	Dirouilles,Les Dirouilles	49.3	-2.03333	T	RK	JE		0	0			0		-9999	Europe/Jersey	2012-01-18
3042157	Corbière Point	Corbiere Point	Corbiere Point,Corbière Point,Point Corbiere,Point Corbière	49.18139	-2.24528	T	PT	JE		0				0		1	Europe/Jersey	2012-01-18
3042158	Bouley Bay	Bouley Bay	Boulay Bay,Bouley Bay,Le Boulay	49.24806	-2.07222	H	BAY	JE		0				0		-9999	Europe/Jersey	2012-01-18
3042159	Bouilly Port	Bouilly Port	Bouilly Port,La Saline	49.18083	-2.20306	H	COVE	JE		0				0		-1	Europe/Jersey	2012-01-18
3042160	Bonne Nuit Bay	Bonne Nuit Bay	Bonne Nuit,Bonne Nuit Bay	49.25278	-2.11778	H	BAY	JE		0				0		1	Europe/Jersey	2012-01-18
3042161	Bel Royal	Bel Royal		49.19806	-2.14722	P	PPL	JE		0				0		8	Europe/Jersey	2007-06-15
3042162	Belle Vue	Belle Vue	Belle Vue	49.19139	-2.17306	P	PPL	JE		0				0		65	Europe/Jersey	2019-10-10
3042163	Belle Hougue Point	Belle Hougue Point	Belle Hougue Point,La Belle Hougue	49.255	-2.10083	T	PT	JE		0				0		22	Europe/Jersey	2012-01-18
3042164	Belcroute Bay	Belcroute Bay	Belcroute,Belcroute Bay	49.18	-2.16417	H	BAY	JE		0				0		-9999	Europe/Jersey	2012-01-18
3042165	Beaumont	Beaumont		49.19639	-2.15861	P	PPL	JE		0				0		7	Europe/Jersey	2007-06-15
3042166	La Grève d' Azette	La Greve d' Azette		49.16824	-2.08457	T	BCH	JE		0				0		6	Europe/Jersey	2007-07-28
3042167	Anne Port	Anne Port		49.20493	-2.02217	H	BAY	JE		0				0		6	Europe/Jersey	2007-07-28
3042168	Aiguillon	Aiguillon	Aiguillon,Les Aiguillons	49.17333	-2.21889	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-18
3042318	Plateau des Minquiers	Plateau des Minquiers	Les Minquiers,Les Mintchiers,Les Mîntchièrs,Miniquers,Miniquiers,Minque,Minquiers,Plateau des Minquiers,The Minkies,The Minquiers	48.96667	-2.08333	H	RF	JE		0				0		-9999	Europe/Jersey	2013-09-08
3234497	West Rock	West Rock	West Rock	49.23	-2.32833	H	RF	JE		0	0			0		-9999	Europe/Jersey	2012-01-19
3236962	Icho Bank	Icho Bank	Icho Bank	49.11444	-2.07167	H	SHOL	JE		0	0			0		-9999	Europe/Jersey	2012-01-19
3236964	Plateau de la Frouquie	Plateau de la Frouquie	Plateau de la Frouquie	49.1	-1.96667	H	RF	JE		0	0			0		-9999	Europe/Jersey	2012-01-19
3236967	La Rousse Platte	La Rousse Platte	La Rousse Platte	49.12222	-1.96667	T	RK	JE		0	0			0		-9999	Europe/Jersey	2012-01-19
3236968	L’Échiquelez	L'Echiquelez	L'Echiquelez,L’Échiquelez	49.14222	-2.04056	T	RK	JE		0	0			0		-9999	Europe/Jersey	2012-01-19
3236971	La Longy	La Longy	La Longy	49.14444	-2.02556	T	RKS	JE		0	0			0		-9999	Europe/Jersey	2012-01-19
3236973	Gros Étacs	Gros Etacs	Gros Etacs,Gros Étacs	49.14806	-2.03833	T	RKS	JE		0	0			0		-9999	Europe/Jersey	2012-01-19
3236974	La Grande Frouquie	La Grande Frouquie	La Grande Frouquie	49.14583	-2.05167	T	RK	JE		0	0			0		-9999	Europe/Jersey	2012-01-19
3236975	La Rousse	La Rousse	La Rousse	49.15111	-2.04722	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3236976	Jinquet Rock	Jinquet Rock	Jinquet Rock	49.14528	-2.06028	T	RK	JE		0	0			0		-9999	Europe/Jersey	2012-01-19
3236979	Rouget Rock	Rouget Rock	Rouget Rock	49.14528	-2.07333	T	RK	JE		0	0			0		-9999	Europe/Jersey	2012-01-19
3236981	Margaret Rock	Margaret Rock	Margaret Rock	49.1475	-2.075	T	RK	JE		0	0			0		-9999	Europe/Jersey	2012-01-19
3236982	La Frouquie	La Frouquie		49.14944	-2.08889	T	RK	JE		0				0		-9999	Europe/Jersey	2007-06-15
3236983	Demie de Pas	Demie de Pas	Demie de Pas,La Demi des Pas	49.15	-2.1025	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3236986	Little Demie	Little Demie	Little Demie	49.15083	-2.09972	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3236987	La Conière	La Coniere	La Coniere,La Conière	49.15833	-2.03083	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3236988	L’teton	L'teton	L'teton,L’teton	49.16222	-2.03806	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3236989	Rocque Herbeuse	Rocque Herbeuse	Rocque Herbeuse	49.16444	-2.05972	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3236990	Rocque Larron	Rocque Larron	Rocque Larron	49.16056	-2.06389	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3236993	Havre de Fontaines	Havre de Fontaines	Havre de Fontaines	49.16667	-2.06444	H	COVE	JE		0				0		4	Europe/Jersey	2012-01-19
3237005	La Sambue	La Sambue		49.15472	-2.08111	T	RK	JE		0				0		-9999	Europe/Jersey	2007-06-15
3237006	La Trouee	La Trouee	La Trouee	49.16111	-2.06972	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237008	Fort Henry	Fort Henry	Fort Henry	49.18722	-2.03306	S	FT	JE		0				0		6	Europe/Jersey	2012-01-19
3237009	Fort William	Fort William		49.18602	-2.0347	S	FT	JE		0				0		7	Europe/Jersey	2007-07-28
3237010	Round Rouget	Round Rouget	Round Rouget	49.15417	-2.08917	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237011	Bailhache	Bailhache	Bailhache	49.15694	-2.09944	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237013	Flat Rock	Flat Rock	Carre du Cane,Carré du Cané,Flat Rock	49.15917	-2.09444	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237014	La Ronde	La Ronde	La Noire,La Ronde	49.16583	-2.09028	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237016	Tas de Pois	Tas de Pois	Le Tas d'Pais,Le Tas d’Pais,Tas de Pois,White Rock	49.15667	-2.10528	T	RK	JE		0				0		-9999	Europe/Jersey	2014-10-02
3237017	Trois Grunes	Trois Grunes	Les Trais Grunes,Trois Grunes	49.15778	-2.11	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237018	Nipple Rock	Nipple Rock	Hinguette,Nipple Rock,White Rock	49.1625	-2.11194	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237019	Mondine	Mondine	La Mondine,Mondine	49.16528	-2.10806	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237021	Dog’s Nest Rock	Dog's Nest Rock	Dog's Nest Rock,Dog’s Nest Rock	49.16639	-2.11583	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237024	Crabière Rock	Crabiere Rock	Crabiere,Crabiere Rock,Crabière,Crabière Rock	49.17278	-2.10611	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237025	Hâvre des Pas	Havre des Pas	Havre des Pas,Hâvre des Pas,Le Havre des Pas	49.17583	-2.10417	H	HBR	JE		0				0		-9999	Europe/Jersey	2020-06-11
3237027	Point des Pas	Point des Pas	Point de Pas,Point des Pas	49.17444	-2.10694	T	PT	JE		0				0		7	Europe/Jersey	2012-01-19
3237028	East La Cloche	East La Cloche	East La Cloche	49.16444	-2.1225	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237029	West La Cloche	West La Cloche	West La Cloche	49.16444	-2.12556	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237030	South Reef	South Reef	South Reef	49.16528	-2.11694	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237031	East Rock	East Rock	East Rock	49.16722	-2.11917	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237032	West Rock	West Rock	West Rock	49.16722	-2.12333	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237033	Moulet Rock	Moulet Rock	Moulet Rock	49.16806	-2.11722	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237034	Quereme Rock	Quereme Rock	Quereme Rock	49.16972	-2.11417	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237035	Petite Mangeuse	Petite Mangeuse	Petite Mangeuse	49.17222	-2.11278	H	RF	JE		0				0		8	Europe/Jersey	2012-01-19
3237036	Grande Mangeuse	Grande Mangeuse	Grande Mangeuse	49.17278	-2.11472	H	RF	JE		0				0		4	Europe/Jersey	2012-01-19
3237037	Crapaud of the Mangeuse	Crapaud of the Mangeuse	Crapaud of the Mangeuse	49.17194	-2.11639	H	RF	JE		0				0		4	Europe/Jersey	2012-01-19
3237038	Small Road	Small Road	Small Road	49.17389	-2.11889	H	RDST	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237039	Sharp Rock	Sharp Rock	Sharp Rock	49.17	-2.11833	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237040	Platte Rock	Platte Rock	Platte Rock	49.17	-2.12528	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237041	Oyster Rocks	Oyster Rocks	L'Hitriere,L’Hitrière,Oyster Rock,Oyster Rocks	49.16833	-2.125	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237042	Hermitage Breakwater	Hermitage Breakwater	Hermitage Breakwater	49.17167	-2.12389	S	BRKW	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237043	Hinguette	Hinguette	Hinguette,Les Hinguettes	49.15444	-2.12583	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237044	Grunes Saint Michel	Grunes Saint Michel		49.15611	-2.13361	H	RF	JE		0				0		-9999	Europe/Jersey	2007-06-15
3237045	Fairway Rock	Fairway Rock	Fairway Rock	49.15278	-2.13139	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237046	Ruaudière Rock	Ruaudiere Rock	Rouaudiere Rock,Rouaudière Rock,Ruaudiere Rock,Ruaudière Rock	49.16194	-2.14333	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237047	Diamond Rock	Diamond Rock	Diamond Rock	49.16889	-2.145	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237048	Saint Helier Harbour	Saint Helier Harbour	Saint Helier Harbor,Saint Helier Harbour,St. Helier Harbour	49.17861	-2.11333	H	HBR	JE		0				0		4	Europe/Jersey	2021-02-20
3237049	Mount Bingham	Mount Bingham	Mount Bingham	49.17667	-2.10889	T	HLL	JE		0				0	42	26	Europe/Jersey	2012-01-19
3237050	Crapaud of the Castle	Crapaud of the Castle	Crapaud of the Castle	49.17417	-2.11972	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237051	Southeast Rock	Southeast Rock	Southeast Rock	49.17444	-2.12139	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237052	Old Harbour	Old Harbour	Old Harbour	49.17917	-2.11056	H	HBR	JE		0				0		4	Europe/Jersey	2012-01-19
3237053	French Harbour	French Harbour	French Harbour	49.1775	-2.11083	H	HBRX	JE		0				0		4	Europe/Jersey	2012-01-19
3237054	English Harbour	English Harbour	English Harbour	49.17861	-2.10972	H	HBRX	JE		0				0		4	Europe/Jersey	2012-01-19
3237055	Saint Helier Marina	Saint Helier Marina	Marina de Saint Helier,Saint Helier Marina,St. Helier Marina	49.18167	-2.11111	S	MAR	JE		0				0		0	Europe/Jersey	2021-02-20
3237056	New North Quay	New North Quay	New North Quay,North Quay	49.18	-2.11083	S	QUAY	JE		0				0		5	Europe/Jersey	2012-01-19
3237057	Albert Pier	Albert Pier	Albert Pier	49.18083	-2.11306	S	PIER	JE		0				0		6	Europe/Jersey	2012-01-19
