id	name	ascii	tes	lat	long	tes2	tes3	tes4	tes5	tes6	tes7	tes8	tes9	tes10	tes11	tes12	tes13	tes14
3237290	La Ville au Bas	La Ville au Bas	La Ville au Bas,Ville au Bas	49.22766	-2.21563	P	PPL	JE	GB	0				0		67	Europe/Jersey	2015-07-16
3237291	La Villaise	La Villaise		49.24083	-2.23667	P	PPL	JE		0				0		73	Europe/Jersey	2007-06-15
3237294	Banc Desormes	Banc Desormes		49.3125	-2.275	H	BNK	JE		0				0		-9999	Europe/Jersey	2007-06-15
3237295	North West Head	North West Head	North West Head	49.31556	-2.28389	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237300	Great Rock	Great Rock	Great Rock	49.29028	-2.19972	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237301	Sharp Rock	Sharp Rock	Sharp Rock	49.29583	-2.19528	T	RK	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237302	East Reef	East Reef	East Reef	49.3	-2.195	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237304	North Rock	North Rock	North Rock	49.29861	-2.20667	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237305	North West Reef	North West Reef	North West Reef	49.29528	-2.22083	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237425	Flat Rock	Flat Rock	Flat Rock	49.28722	-2.21194	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237426	South West Grune	South West Grune	South West Grune	49.28389	-2.20583	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237429	La Grune de Lecq	La Grune de Lecq	La Grun de Lecq,La Grune de Lecq	49.28444	-2.19306	H	RF	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237455	Portinfer	Portinfer	Portinfer	49.25019	-2.2258	P	PPL	JE		0				0		79	Europe/Jersey	2016-02-18
3237456	Plémont Deep	Plemont Deep	Plemont Deep,Plémont Deep	49.27167	-2.20139	H	CHNM	JE		0				0		-9999	Europe/Jersey	2012-01-19
3237459	Grune de Becquet	Grune de Becquet		49.26278	-2.205	H	RF	JE		0				0		-9999	Europe/Jersey	2007-06-15
3237462	Grune de Douet	Grune de Douet		49.25667	-2.20472	H	SHOL	JE		0				0		-9999	Europe/Jersey	2007-06-15
3237464	Grand Becquet	Grand Becquet	Grand Becquet,Le Grand Becquet	49.25417	-2.21167	T	PT	JE		0				0		8	Europe/Jersey	2012-01-19
